claim_id,customer_id,policy_id,date_id,adjuster_id,amount,status
1,655,115,141,4,2524.43,Approved
2,755,105,280,87,960.69,Denied
3,33,31,112,12,2403.34,Pending
4,28,204,333,92,7043.12,Denied
5,226,460,143,76,8113.36,Approved
6,778,164,217,90,3468.48,Approved
7,221,345,48,14,3861.28,Denied
8,353,271,236,6,5408.66,Denied
9,81,301,317,81,8865.97,Denied
10,592,197,36,91,553.66,Approved
11,792,297,120,11,8678.19,Denied
12,285,465,187,82,1710.28,Denied
13,215,274,350,90,6515.55,Pending
14,651,176,126,69,1717.68,Denied
15,277,225,167,88,8444.23,Approved
16,235,33,206,41,2750.63,Approved
17,581,323,336,28,5042.39,Pending
18,470,147,72,34,2541.61,Pending
19,552,270,300,96,4341.49,Pending
20,409,371,71,29,5144.31,Approved
21,774,49,79,15,6311.72,Pending
22,433,66,196,50,5999.3,Denied
23,542,258,6,71,6834.81,Approved
24,699,550,137,97,7709.13,Denied
25,115,301,81,56,4591.86,Pending
26,737,270,92,65,5126.05,Approved
27,641,306,260,82,6128.81,Approved
28,383,166,272,70,9193.09,Pending
29,332,501,58,3,9298.08,Denied
30,246,60,291,31,9474.8,Approved
31,750,498,273,9,7681.76,Approved
32,676,487,85,71,2724.06,Pending
33,434,217,354,70,2091.4,Denied
34,409,383,265,57,4569.71,Approved
35,231,66,11,44,5924.26,Approved
36,603,226,37,1,7107.63,Approved
37,235,70,170,5,801.49,Approved
38,286,498,277,28,1409.89,Pending
39,591,485,243,32,8094.22,Approved
40,97,100,221,85,3607.55,Denied
41,479,56,335,87,9843.24,Approved
42,63,413,174,94,8025.87,Approved
43,255,197,275,25,4541.27,Denied
44,188,286,128,60,8757.41,Approved
45,454,101,334,7,9992.9,Approved
46,96,243,209,22,4907.85,Approved
47,411,61,195,22,121.34,Denied
48,272,466,217,37,6996.26,Pending
49,570,499,98,20,3037.41,Approved
50,594,63,161,96,665.94,Pending
51,489,515,81,68,663.11,Pending
52,83,191,305,9,772.81,Approved
53,414,123,127,73,5831.3,Approved
54,635,84,337,54,5878.36,Pending
55,324,268,343,27,7190.3,Approved
56,272,406,344,17,6490.46,Denied
57,324,75,235,2,6249.48,Pending
58,103,76,110,69,5108.26,Approved
59,358,71,190,32,2921.38,Denied
60,557,310,335,79,5336.51,Pending
61,568,307,54,85,9395.41,Approved
62,271,119,284,14,1638.93,Denied
63,620,216,176,92,2115.61,Pending
64,271,518,129,63,9062.83,Approved
65,95,434,23,36,135.1,Approved
66,653,269,227,21,5561.64,Denied
67,575,10,39,15,9456.0,Pending
68,153,37,299,48,5570.0,Denied
69,131,43,187,40,8999.92,Approved
70,367,216,128,88,6702.64,Denied
71,799,417,80,80,9265.06,Approved
72,167,182,13,53,1875.67,Denied
73,422,255,82,35,7895.01,Approved
74,392,40,114,61,2075.77,Denied
75,359,313,115,30,334.28,Approved
76,409,337,36,36,9672.2,Denied
77,360,522,348,52,9813.38,Pending
78,340,29,134,15,1867.82,Denied
79,40,112,223,77,3522.3,Denied
80,447,524,198,15,9005.1,Approved
81,261,46,224,91,116.74,Pending
82,704,202,221,47,792.74,Pending
83,339,322,64,85,7225.57,Denied
84,520,317,210,86,3329.21,Pending
85,303,131,216,25,6682.8,Denied
86,694,179,292,79,3079.4,Pending
87,1,312,108,37,4355.89,Pending
88,622,330,227,60,4477.38,Approved
89,524,485,87,95,6622.62,Denied
90,528,344,121,12,6760.68,Approved
91,204,151,24,4,2523.94,Denied
92,626,75,213,59,8872.76,Pending
93,200,394,205,64,2515.45,Pending
94,705,6,55,97,7806.36,Approved
95,181,531,26,60,5618.32,Approved
96,468,137,342,60,5358.21,Pending
97,610,325,227,97,6165.26,Pending
98,517,437,229,71,8982.36,Pending
99,487,461,127,34,8414.64,Denied
100,785,534,321,63,2468.53,Denied
101,80,293,140,31,3424.89,Pending
102,83,142,119,20,3892.05,Approved
103,724,220,213,9,4135.23,Pending
104,478,426,106,8,8345.62,Denied
105,789,21,295,98,3865.77,Approved
106,361,306,200,97,8549.13,Denied
107,552,226,113,63,2802.06,Denied
108,30,399,343,44,6823.5,Denied
